video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=x67R94bkNC0&pp=ygUNYmxhY2sgY3VsdHVyZQ%3D%3D,/@MillionaireMorningShow,The Millionaire Morning Show w/ Anton Daniels,"""Black Culture Will Never Accept You and That's Okay,"" Anton Daniels Says You Have To Lie To Blacks",17K,2 months,"Tiege Hanley: Get your first box 40% off (+ FREE gift), and 20% off for life, at https://tiege.com/morningshow Join the Bag Chasers ...",2026-01-22 01:01:29.015856
/watch?v=d77a4aou5Vc&pp=ygUNYmxhY2sgY3VsdHVyZdIHCQmHCgGHKiGM7w%3D%3D,/@BlackJournals,Black Journals,100 Things You Didn't Know Were Invented by Black People (Episode 1),2.6M,2 years,"For too long, the media has ignored the achievements of Black inventors, making it seem like they weren't as smart or talented.",2026-01-22 01:01:29.018184
/shorts/n5mTJPTDP5Y,/@blackstarnetwork,Black Star Network,"Black American Pride: Culture, Power, and Avoiding Oppression #shorts",No,1 day,"Black American culture's global impact is undeniable. Pride is essential, but be aware of being used. Know your worth.",2026-01-22 01:01:29.020692
/watch?v=Mi9sjhISYfg&pp=ygUNYmxhY2sgY3VsdHVyZQ%3D%3D,/@theroot,The Root,Racial Segregation and Concentrated Poverty: The History of Housing in Black America,1.7M,4 years,"On Jan. 26, 2021, President Joe Biden signed four executive orders designed to address racial equity in the United States.",2026-01-22 01:01:38.255385
/watch?v=kr-QCv6Aoj0&pp=ygUNYmxhY2sgY3VsdHVyZdIHCQmHCgGHKiGM7w%3D%3D,/@ConservativeTwins,Conservative Twins,Black People Your Culture Sucks! Nick Fuentes,589K,5 months,Support the Twins and get damn good products: https://officialhodgetwins.com/collections/new-releases-1 Watch more ...,2026-01-22 01:01:38.256639
/watch?v=M6eEn5IsDxk&pp=ygUNYmxhY2sgY3VsdHVyZQ%3D%3D,/@TheOfficialCartierFamily,CartierFamily,NO WAY NICK FUENTES TELLS BLACK AMERICA THIS...😱,2.1M,5 months,Shop the Cant Fold Store https://cantfold.com/ Follow us on X: https://x.com/cartierfamilyZ Follow the Tiktok: ...,2026-01-22 01:01:38.257761
/watch?v=weCGpwm4_UU&pp=ygUNYmxhY2sgY3VsdHVyZQ%3D%3D,/@youtubeoriginals,YouTube Originals,Black Renaissance: What Is Black Culture?,36K,4 years,"H.E.R. and Jason Reynolds describe the beauty and pervasiveness of Black culture in this lyrical, poetical short taken from Black ...",2026-01-22 01:01:38.259970
/shorts/_en5hmeCSiA,/@nyahnot,nyahnot,K-Pop Take From BLACK Culture…,40K,12 days,PLEASE SUBSCRIBE!! #roblox #robloxrant #kpop #kpopdemonhunters.,2026-01-22 01:01:38.261441
/watch?v=e4aFFfpUuls&pp=ygUNYmxhY2sgY3VsdHVyZdIHCQmHCgGHKiGM7w%3D%3D,/@MyronGainesX,MyronGainesX,Black Karen Got TOLD Hard Facts About FEMINISM & Black Culture!,180K,4 months,Join The OSS Or Get Merch HERE: https://ossarmy.com/ Merch Store: https://myrongainesx.store/ Need caffeine? Stay sharp!,2026-01-22 01:01:38.264767
/watch?v=ESo8-DH_xV0&pp=ygUNYmxhY2sgY3VsdHVyZQ%3D%3D,/@BETNetworks,BETNetworks,"Tyler Perry's House of Payne | Season 12, Episode 5: House of Tough Decisions",101K,1 day,"http://bit.ly/1U0v9xG Stream Black Culture with BET+. Kick back and enjoy movies, TV series, exclusive originals and the best of ...",2026-01-22 01:01:38.265906
/shorts/CAGHI4jdujk,/@CrispGrowth,Crisp,#DavidGoggins explains why African Americans make up only 1% of #specialoperations 🤯 #ytshorts,813K,2 years,Reason why there's only one percent of African Americans in Special Operations is not because of anything else but because of ...,2026-01-22 01:01:38.267402
