video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=tbsKBbvZ4Xg&pp=ygUOYmxhY2sgaWRlbnRpdHnSBwkJhwoBhyohjO8%3D,/@ToonrificTariq,ToonrificTariq,"Carl, The SIMPSONS and Black Identity",356K,2 years,Check out Manta Sleep here: https://bit.ly/44xZfmt and make sure to use TARIQ for 10% off your order! #napwithmanta ...,2026-01-22 01:03:14.936741
/shorts/NdLFZdwuIkA,/@TheFreedomandJusticeInstitute,The Freedom and Justice Institute ,Unveiling Ethiopia's Black Identity! #blackhistory #education #ethiopia #blackhistorymonth,323K,1 year,"In this enlightening video, we delve into the rich cultural narratives of Ethiopia and unveil the complex identity of Ethiopians within ...",2026-01-22 01:03:14.938005
/watch?v=5VlKeJwUE6w&pp=ygUOYmxhY2sgaWRlbnRpdHk%3D,/@mrlondonPlumber_tv,MR LONDON PLUMBER,"Black Identity Explained_ Caribbean, African & American Cultures—Where Do We Clash",8,6 hours,"Black Identity Explained | Caribbean, African & American Cultures — Where Do We Clash? In this video, we have an open and ...",2026-01-22 01:03:14.939586
/watch?v=R2rqb7ZXhVI&pp=ygUOYmxhY2sgaWRlbnRpdHk%3D,/@MicDotCom,Mic,The F.B.I's Controversial Crackdown On 'Black Identity Extremists' | Mic Dispatch,4.5K,6 years,"Welcome to Mic Dispatch, where we dive beyond the news headlines. On our first episode, Aaron Morrison looks into the FBI's ...",2026-01-22 01:03:14.941644
/watch?v=EoXLJGoAs2E&pp=ygUOYmxhY2sgaWRlbnRpdHnSBwkJhwoBhyohjO8%3D,/@SaRaGarvey2012,Steven “Sa Ra” Burrell,THE BLACK IDENTITY CRISIS IN AMERICA,24K,4 years,I've watched Black people in America struggle to find who they are & I believe a lot of them are imploding! Please support ...,2026-01-22 01:03:14.942802
/watch?v=Xjm8H3FSGdk&pp=ygUOYmxhY2sgaWRlbnRpdHnSBwkJhwoBhyohjO8%3D,/@TEDx,TEDx Talks,Black or White? Refusing to Choose & Embracing Biracial Identity | Daralyse Lyons | TEDxLehighRiver,32K,4 years,"As a Biracial, multiethnic woman, Daralyse Lyons is uniquely empowered to use her seemingly disparate background as a ...",2026-01-22 01:03:14.945594
/watch?v=BAFhmKLyhuc&pp=ygUOYmxhY2sgaWRlbnRpdHnSBwkJhwoBhyohjO8%3D,/@LegacyOfTheUnknown,Legacy of the Unknown,The Evolution of Black Identity in America,1.7K,2 years,"In this video, we take a short jump into the complexities of black history and African American culture. From the legacy of slavery ...",2026-01-22 01:03:14.947162
/shorts/Ce30smF3AqI,/@unsungblackhistory,Unsung Black History,The Black American Heritage Flag They Want Forgotten #blackhistory #blackpride #legacy,563,2 hours,"We are excited to present the Black American Heritage Flag, a symbol of profound black heritage and racial pride created in 1967 ...",2026-01-22 01:03:14.948419
/shorts/67brue0ReVg,/@SOC119,SOC 119,African vs. African American Identity in America #SOC119 #Africa #AfricanCulture #Nigeria,9.7K,1 year,Join us live on Tuesdays and Thursdays! Full Lecture Here! https://www.youtube.com/watch?v=X1MdZqgVU1E Class Highlight ...,2026-01-22 01:03:14.949635
/watch?v=-US391BDCOg&pp=ygUOYmxhY2sgaWRlbnRpdHk%3D,/@BadFaithPodcast,Bad Faith,"Identity Politics, Black America, & the Left w/ Adolph Reed, Paul Prescod, & Dean Robinson",16K,4 years,The panel tackles some of the thorniest debates on the left: Did Bernie do enough to win the Black vote? Is the left doing enough ...,2026-01-22 01:03:14.950835
/watch?v=4QifUVrmIhM&pp=ygUOYmxhY2sgaWRlbnRpdHk%3D,/@BrooklynSaintMickell,Brooklyn Saint Mickell,#155 - Moving Beyond Black As An Identity: Professor Dr. Jose Pimienta Bey,7.7K,1 year,Full video here https://youtu.be/lLeSJVm8mG4?si=1FaCVJ7_76TWweLW.,2026-01-22 01:03:14.951951
/watch?v=5eWfnBQiidU&pp=ygUOYmxhY2sgaWRlbnRpdHk%3D,/@CBSNews,CBS News,Activists push for Puerto Ricans to embrace black identity,96K,5 years,Activists and demographers are pushing for more Puerto Ricans to identify themselves as black on the census in order to confront ...,2026-01-22 01:03:14.953593
/watch?v=VCSsVraY9Us&pp=ygUOYmxhY2sgaWRlbnRpdHk%3D,/@TheOfficerTatum,The Officer Tatum,CNN LOSES IT When Black Conservative REJECTS Obama’s “Black Identity”,422K,3 months,"The left lost it on CNN over a simple question: Is Barack Obama black, or just a man? A panel meltdown over the one-drop rule, ...",2026-01-22 01:03:14.955292
/watch?v=OPoh4xJ2EaU&pp=ygUOYmxhY2sgaWRlbnRpdHk%3D,/@TheStorytellerAJ,TheStoryteller,Operation Black Steel: Black Identity,148K,7 years,Alternate Title: Cause' I Know You Didn't Read The Comic Strip~ I'm back from the dead with a video about one of the more ...,2026-01-22 01:03:14.957399
/watch?v=Mi9sjhISYfg&pp=ygUOYmxhY2sgaWRlbnRpdHk%3D,/@theroot,The Root,Racial Segregation and Concentrated Poverty: The History of Housing in Black America,1.7M,4 years,"On Jan. 26, 2021, President Joe Biden signed four executive orders designed to address racial equity in the United States.",2026-01-22 01:03:14.958586
/watch?v=RHUr7SlXSqs&pp=ygUOYmxhY2sgaWRlbnRpdHk%3D,/@michelleobama,Michelle Obama,"The Power of Hair: Identity, Legacy & Black Womanhood | The Look",234K,2 months,"In this episode of The Look, the conversation dives deep into the meaning of hair as identity, expression, and power—especially ...",2026-01-22 01:03:23.722666
/watch?v=AvxWH1FvMYc&pp=ygUOYmxhY2sgaWRlbnRpdHk%3D,/@faithfullmind-s5t,FAITH FULL MIND ™,"""Reclaiming Black Identity in the Bible: 7 Astonishing Biblical Facts!"" MUST WATCH",9.2K,9 months,billigraham #BlackHistoryInTheBible #AfricanBiblicalFigures #BiblicalTruth #HiddenHistory #Christianity #BibleFacts ...,2026-01-22 01:03:23.725649
